Cód. Perfil;Sigla;Nome Empresarial;CNPJ BÁSICO;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;média
74095;ETNA EI NE;ETNA COMERCIO DE MOVEIS E ARTIGOS PARA DECORACAO S.A.;13477066;13.477.066/0001-19;26,006;26,121;60,777;78,694;91,074;101,244;73,696;83,052;;;;;67,58
74101;ITAMBE BRIT 1;CIA DE CIMENTO ITAMBE;76630573;76.630.573/0001-60;58,427;75,619;66,549;63,318;76,144;77,144;70,524;68,758;;;;;69,56
74105;C CE FABRIMOVEIS;FABRIMOVEIS INDUSTRIAL LTDA;43072990;43.072.990/0001-86;84,346;101,612;152,538;121,718;154,684;140,97;125,89;157,285;;;;;129,88
74106;HP EMBALAGENS;HP EMBALAGENS INDUSTRIA E COMERCIO LTDA.;67274811;67.274.811/0001-51;265,287;256,994;293,78;261,022;278,763;238,243;250,736;308,676;;;;;269,19
74114;RESIPOL;RESIPOL COMERCIO DE RESIDUOS E POLIMEROS PLASTICOS EIRELI;9097812;09.097.812/0001-71;425,454;391,242;520,519;468,157;525,786;440,763;508,696;507,407;;;;;473,5
74122;BOOMERA;BOOMERA AMBIPAR ENVIRONMENTAL PARANA LTDA;26611091;26.611.091/0001-95;23,937;19,983;20,523;16,607;23,622;24,5;26,246;27,311;;;;;22,84
74181;SGVID-PFERREIRA CL;VERALLIA BRASIL S.A.;60853942;60.853.942/0013-88;3.507,56;2.745,63;3.186,07;3.353,78;3.317,66;2.932,26;3.263,99;3.485,84;;;;;3.224,10
74182;PORTOBELLO CL NE;PBG S/A;83475913;83.475.913/0001-91;3.045,18;2.797,90;3.073,03;3.001,98;3.059,07;2.974,09;3.058,01;1.690,56;;;;;2.837,48
74221;TANCAL;COMERCIO E INDUSTRIA DE CAL TANCAL LTDA;76214022;76.214.022/0001-16;314,352;307,155;376,79;353,333;397,525;374,705;399,621;387,309;;;;;363,85
74223;WOLFER;WOLFER METALURGICA INDUSTRIA E COMERCIO LTDA;56922859;56.922.859/0001-02;105,052;105,299;134,663;111,403;113,244;124,784;159,018;189,222;;;;;130,34
74241;INBRAFILTRO;INBRAFILTRO INDUSTRIA E COMERCIO DE FILTROS LTDA;51135705;51.135.705/0001-57;162,507;184,38;211,452;200,316;234,291;225,428;228,806;216,604;;;;;207,97
74243;BANFILME MG CE;BANDEIRANTE INDUSTRIA E COMERCIO DE PLASTICOS LTDA;66989245;66.989.245/0001-00;27,579;24,456;30,241;25,087;29,98;30,284;35,687;39,152;;;;;30,31
74283;AN ADM E PART;AN ADMINISTRACOES E PARTICIPACOES LTDA;4060874;04.060.874/0001-95;98,422;91,442;104,486;95,857;94,36;89,107;95,973;93,83;;;;;95,43
74322;SOMAI NORDESTE;SOMAI NORDESTE S/A;22673347;22.673.347/0001-38;175,446;164,606;192,541;165,701;162,319;164,091;175,86;179,728;;;;;172,54
74323;VERA CRUZ;HOSPITAL VERA CRUZ S A;46009718;46.009.718/0001-40;475,421;451,232;531,485;456,641;392,126;365,598;412,293;391,675;;;;;434,56
74325;PLACAS DO BRASIL;PLACAS DO BRASIL S.A.;14792934;14.792.934/0001-18;6.669,84;6.690,85;6.522,04;6.502,21;6.308,51;6.652,63;6.654,28;7.013,18;;;;;6.626,69
74326;JURERE BEACH VILLAGE;CONDOMINIO COMPLEXO TURISTICO JURERE BEACH VILLAGE;3578193;03.578.193/0001-50;163,773;152,399;158,294;133,219;121,563;57,115;68,407;44,938;;;;;112,46
74341;FRADE SPOT;FRADE SPOT PARTICIPACOES S/A;18312180;18.312.180/0001-02;309,705;265,854;307,989;251,941;218,323;183,851;221,932;188,68;;;;;243,53
74345;FLAMINGO;CONDOMINIO FLAMINGO;3841348;03.841.348/0001-08;96,39;97,959;113,387;90,787;75,56;70,565;81,716;77,652;;;;;88
74346;BLUE FOREST;BLUE FOREST INDUSTRIA E COMERCIO LTDA;9174455;09.174.455/0001-06;165,01;166,437;191,498;163,796;186,486;160,115;188,685;189,466;;;;;176,44
74347;BRF 392 TATUI CL;BRF S.A.;1838723;01.838.723/0001-27;1.361,57;1.194,50;1.496,24;1.250,33;1.109,90;1.131,69;1.141,15;1.084,84;;;;;1.221,28
74348;NEXANS RJ EI;NEXANS BRASIL S/A;31860364;31.860.364/0012-28;1.676,75;1.598,50;1.765,34;1.573,79;1.522,52;1.261,51;1.301,88;1.404,49;;;;;1.513,10
74374;NEWFIX;NEWFIX INDUSTRIA E COMERCIO LTDA .;4024914;04.024.914/0001-43;92,298;87,626;78,897;98,451;139,427;113,424;120,989;159,59;;;;;111,34
