Cód. Perfil;Sigla;Nome Empresarial;CNPJ BÁSICO;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;média
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2016440;02.016.440/0001-62;853.867,23;691.748,56;613.481,25;475.690,73;496.651,28;510.331,37;491.015,77;475.952,32;;;;;576.092,31
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;2302100;02.302.100/0001-06;807.876,05;742.811,31;851.011,91;754.893,62;754.623,28;721.479,93;741.706,42;751.295,69;;;;;765.712,27
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;19527639;19.527.639/0001-58;116.914,59;103.970,92;121.300,28;109.248,23;105.323,32;104.466,51;109.359,45;108.976,23;;;;;109.944,94
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;12272084;12.272.084/0001-00;413.244,03;389.913,62;401.517,79;376.923,57;361.571,49;311.378,07;307.827,74;311.029,22;;;;;359.175,69
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;8826596;08.826.596/0001-95;52.251,09;50.046,79;54.950,96;51.863,75;52.441,79;46.896,64;46.701,07;47.273,39;;;;;50.303,18
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;1543032;01.543.032/0001-04;1.030.238,42;962.113,76;1.146.338,83;1.168.607,80;1.142.159,43;1.086.876,76;1.104.750,88;1.154.263,19;;;;;1.099.418,63
16;CELPA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;4895728;04.895.728/0001-80;898.604,19;849.132,36;923.796,56;899.144,54;952.611,55;933.888,31;981.882,57;1.037.572,52;;;;;934.579,07
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;10835932;10.835.932/0001-08;1.208.440,87;1.154.089,01;1.246.705,79;1.189.023,24;1.161.422,00;1.000.771,77;1.010.417,38;1.025.044,72;;;;;1.124.489,35
19;CEMAR;EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A;6272793;06.272.793/0001-84;622.458,70;595.025,15;630.558,50;627.988,93;675.192,94;650.089,43;674.560,33;706.963,22;;;;;647.854,65
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3467321;03.467.321/0001-99;698.211,60;685.762,79;740.083,64;729.963,04;672.644,36;693.585,32;793.656,69;793.993,40;;;;;725.987,61
22;CEPISA;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;6840748;06.840.748/0001-89;337.054,00;325.694,84;342.486,95;337.578,90;367.713,14;342.908,21;361.631,62;381.315,69;;;;;349.547,92
24;AMPLA;AMPLA ENERGIA E SERVICOS S.A.;33050071;33.050.071/0001-58;1.154.677,98;1.010.675,37;1.218.022,26;1.006.714,22;898.864,55;800.075,95;863.840,72;849.219,27;;;;;975.261,29
30;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;15139629;15.139.629/0001-94;1.725.891,64;1.642.211,53;1.820.264,22;1.761.454,66;1.774.897,09;1.603.657,64;1.617.324,24;1.644.182,58;;;;;1.698.735,45
31;COELCE;COMPANHIA ENERGETICA DO CEARA;7047251;07.047.251/0001-70;1.038.225,05;1.002.385,26;1.039.329,94;979.027,76;1.027.155,91;954.405,84;989.717,63;1.037.572,29;;;;;1.008.477,46
33;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;8324196;08.324.196/0001-81;447.783,17;421.693,69;444.439,87;416.143,46;417.280,35;371.994,80;377.279,34;391.373,72;;;;;410.998,55
34;CPFL PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;33050196;33.050.196/0001-88;2.056.933,12;1.941.496,26;2.267.139,88;1.963.487,65;1.809.988,85;1.720.321,69;1.855.011,86;1.876.826,95;;;;;1.936.400,78
39;CVRD;VALE S.A.;33592510;33.592.510/0001-54;327.539,38;247.884,94;281.494,40;357.470,42;371.550,52;357.451,40;363.809,78;371.215,69;;;;;334.802,07
46;ELEKTRO;ELEKTRO REDES S.A.;2328280;02.328.280/0001-97;1.137.914,28;1.050.490,49;1.179.780,65;1.030.406,70;971.967,71;916.622,10;993.012,06;975.739,95;;;;;1.031.991,74
48;ELETRONORTE;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A;357038;00.357.038/0001-16;0;0;0;0;0;0;0;0;;;;;0
49;ELETROPAULO;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;61695227;61.695.227/0001-93;2.959.636,75;2.792.213,06;3.218.526,70;2.871.897,72;2.907.143,10;2.780.862,14;2.841.601,59;2.891.850,22;;;;;2.907.966,41
51;ENERGISA SE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;13017462;13.017.462/0001-63;250.389,46;238.753,62;253.166,98;240.892,11;234.150,69;200.451,48;198.940,31;200.778,95;;;;;227.190,45
52;ENERGISA MS;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;15413826;15.413.826/0001-50;505.313,16;473.068,56;498.302,67;424.180,18;354.517,95;334.903,79;389.748,01;374.379,57;;;;;419.301,73
55;ESCELSA;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;28152650;28.152.650/0001-71;700.542,22;619.561,15;736.257,29;681.043,33;630.885,79;563.195,74;569.920,71;603.332,05;;;;;638.092,28
56;FURNAS;FURNAS-CENTRAIS ELETRICAS S.A.;23274194;23.274.194/0001-19;0;0;0;0;0;0;0;0;;;;;0
63;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;53859112;53.859.112/0001-69;24.164,85;23.068,58;26.583,61;23.385,22;23.199,73;20.407,16;21.923,71;23.413,23;;;;;23.268,26
64;LIGHT;LIGHT SERVICOS DE ELETRICIDADE S A;60444437;60.444.437/0001-46;2.586.616,40;2.279.562,64;2.879.379,46;2.197.301,85;1.889.228,49;1.603.185,80;1.803.204,20;1.729.217,92;;;;;2.120.962,09
68;ENERGISA PB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;9095183;09.095.183/0001-40;397.221,54;380.263,36;404.611,07;385.787,90;384.702,67;334.358,39;342.992,44;351.699,06;;;;;372.704,55
72;CBA;COMPANHIA BRASILEIRA DE ALUMINIO;61409892;61.409.892/0001-73;415.742,08;352.156,10;401.213,19;387.335,51;446.292,96;426.337,98;459.620,79;451.827,97;;;;;417.565,82
81;COPEL DISTRIB;COPEL DISTRIBUICAO S.A.;4368898;04.368.898/0001-06;2.027.845,27;1.881.598,74;1.991.023,45;1.682.929,19;1.698.144,78;1.640.826,12;1.673.083,54;1.681.953,69;;;;;1.784.675,60
94;CPFL PIRATINGA;COMPANHIA PIRATININGA DE FORCA E LUZ;4172213;04.172.213/0001-51;812.467,92;756.378,73;866.916,84;732.638,94;706.593,93;660.596,29;692.401,96;692.829,63;;;;;740.103,03
103;DMED;DME DISTRIBUICAO S.A. - DMED;23664303;23.664.303/0001-04;25.347,54;23.203,79;25.950,48;24.292,85;25.444,29;24.521,78;25.252,22;25.722,49;;;;;24.966,93
104;ICB;INTERCEMENT BRASIL S.A.;62258884;62.258.884/0001-36;78.806,69;76.119,44;85.626,96;85.350,62;85.103,39;85.093,14;88.720,57;83.875,29;;;;;83.587,01
146;DCELT;DCELT - DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRICA LTDA;83855973;83.855.973/0001-30;20.139,32;18.061,80;19.139,80;16.538,34;17.616,26;16.756,36;16.543,30;16.477,83;;;;;17.659,13
151;NOVELIS;NOVELIS DO BRASIL LTDA.;60561800;60.561.800/0001-03;37.136,55;33.193,24;38.014,23;37.300,63;38.299,99;28.560,07;38.227,88;38.401,08;;;;;36.141,71
198;CUMMINS;CUMMINS BRASIL LIMITADA;43201151;43.201.151/0001-10;1.989,74;2.271,12;2.596,08;1.935,35;2.077,95;2.019,10;2.113,17;2.164,28;;;;;2.145,85
201;CHEMTRADE;CHEMTRADE BRASIL LTDA;3461875;03.461.875/0001-89;28.884,32;27.103,15;29.438,98;27.594,85;25.489,41;24.610,89;30.841,79;30.087,41;;;;;28.006,35
1036;CIPLAN;CIPLAN CIMENTO PLANALTO SA;57240;00.057.240/0001-22;28.730,22;25.622,22;30.701,42;30.164,17;29.939,55;32.463,11;32.244,97;32.908,42;;;;;30.346,76
1046;DURA UBE;DEXCO S.A;97837181;97.837.181/0001-47;12.784,49;11.814,55;11.696,99;11.912,00;13.649,07;10.018,15;13.074,24;13.230,99;;;;;12.272,56
1051;SABESP;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43776517;43.776.517/0001-80;136.219,50;123.304,82;139.376,61;138.400,34;150.165,36;143.214,58;148.559,23;148.480,57;;;;;140.965,13
1052;APERAM;APERAM INOX AMERICA DO SUL S.A.;33390170;33.390.170/0001-89;39.147,57;48.166,33;61.432,84;61.154,75;62.664,87;58.115,05;64.510,12;62.947,59;;;;;57.267,39
1053;BELGO CONT;BELGO BEKAERT ARAMES LTDA;61074506;61.074.506/0001-30;8.843,43;9.722,58;10.050,91;9.579,01;9.755,05;9.970,57;9.826,07;9.270,73;;;;;9.627,29
1056;ARCELOR JF;ARCELORMITTAL BRASIL S.A.;17469701;17.469.701/0001-77;335.401,66;310.632,59;338.486,93;295.042,33;360.219,29;315.923,35;329.037,99;333.618,56;;;;;327.295,34
1058;BMB VESP;BMB BELGO MINEIRA BEKAERT ARTEFATOS DE ARAME LTDA;18786988;18.786.988/0001-21;17.229,89;15.973,76;16.845,02;16.942,50;16.982,49;15.956,15;16.622,16;16.578,70;;;;;16.641,33
1060;CBMM;COMPANHIA BRASILEIRA DE METALURGIA E MINERACAO;33131541;33.131.541/0001-08;29.364,80;38.617,49;40.622,47;42.842,78;39.402,27;33.255,84;37.655,72;40.183,97;;;;;37.743,17
1061;ICAL;ICAL INDUSTRIA DE CALCINACAO LTDA EM RECUPERACAO JUDICIAL;17157264;17.157.264/0001-56;6.829,78;6.206,16;6.440,11;6.668,38;7.308,68;7.241,54;7.426,07;7.536,44;;;;;6.957,14
1065;FUNDIMIG;FUNDIMIG INDUSTRIA DE PECAS E COMPONENTES LTDA;17381542;17.381.542/0001-54;3.962,11;3.863,21;4.452,41;3.821,73;4.121,44;4.139,19;4.201,71;4.392,34;;;;;4.119,27
1066;INTERCAST;INTERCAST S/A;2326750;02.326.750/0001-83;2.662,21;4.045,20;4.808,32;4.808,77;5.117,43;5.335,36;4.843,35;5.304,88;;;;;4.615,69
1067;FERLIG;FERLIG FERRO LIGA LTDA - EM RECUPERACAO JUDICIAL;22482228;22.482.228/0001-06;6.122,55;5.365,23;6.265,84;6.620,52;7.688,88;7.694,37;7.850,80;8.068,96;;;;;6.959,64
1068;LIASA;LIGAS DE ALUMINIO SA LIASA;17221771;17.221.771/0001-01;65.212,37;46.577,13;50.155,41;49.188,28;48.992,24;49.180,86;50.252,16;55.420,52;;;;;51.872,37
1072;MAGOTTEAUX;MAGOTTEAUX BRASIL LTDA;43790666;43.790.666/0001-01;7.667,03;7.271,69;8.147,47;7.578,14;7.724,80;7.813,33;8.393,18;7.475,62;;;;;7.758,91
1074;FLAMMA AUTOMOTIVA;FLAMMA AUTOMOTIVA S/A;1002612;01.002.612/0001-86;1.272,93;1.272,52;1.504,10;1.288,99;1.469,12;1.456,20;1.490,14;1.578,99;;;;;1.416,62
1079;ANGLOGOLD CSM;ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.;18565382;18.565.382/0001-66;28.113,22;27.626,12;30.909,27;27.255,13;27.372,09;29.526,34;29.789,96;30.178,98;;;;;28.846,39
1080;TUPI;CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL;33039223;33.039.223/0001-11;10.030,77;13.498,11;16.086,87;16.423,92;13.972,44;18.620,88;18.320,52;17.765,66;;;;;15.589,90
1082;UMSA;USIMINAS MECANICA SA;17500224;17.500.224/0001-65;317,48;249,707;290,099;285,53;298,228;282,217;312,187;315,301;;;;;293,84
1083;UNIFI;UNIFI DO BRASIL LTDA.;3013973;03.013.973/0001-53;6.012,48;6.866,28;7.531,86;7.182,94;7.807,32;7.469,13;7.272,89;7.421,00;;;;;7.195,49
1085;INONIBRAS;INONIBRAS INOCULANTES E FERRO LIGAS NIPO BRASILEIROS SA;18891036;18.891.036/0001-78;4.534,57;4.129,54;4.421,67;4.290,51;4.204,19;4.231,62;4.511,78;4.446,08;;;;;4.346,25
1086;WHITE MARTINS;WHITE MARTINS GASES INDUSTRIAIS LTDA;35820448;35.820.448/0001-36;158.705,85;151.885,98;171.137,06;166.619,57;173.480,71;162.991,96;164.285,98;166.674,67;;;;;164.472,72
1087;MERCEDES-BENZ;MERCEDES-BENZ DO BRASIL LTDA.;59104273;59.104.273/0037-30;4.175,20;3.872,89;4.461,55;3.313,11;4.051,31;3.789,15;3.258,56;4.154,07;;;;;3.884,48
1089;CEDRO SANTO;COMPANHIA DE FIACAO E TECIDOS SANTO ANTONIO;25582727;25.582.727/0001-55;6.360,96;6.103,92;7.018,02;6.447,87;6.425,94;5.844,16;6.095,13;6.467,56;;;;;6.345,44
1090;ECLSA;EMPRESA DE CIMENTOS LIZ S.A;33920299;33.920.299/0003-13;20.112,32;14.517,87;20.140,20;20.781,97;25.594,67;19.934,25;22.250,81;25.815,45;;;;;21.143,44
1091;NEMAK;NEMAK ALUMINIO DO BRASIL LTDA;4721073;04.721.073/0001-23;3.265,33;3.274,83;4.266,49;4.005,40;4.047,54;4.000,87;4.068,67;4.229,22;;;;;3.894,79
1092;PRYSMIAN CABOS;PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A;61150751;61.150.751/0002-60;76,259;61,99;74,396;73,911;70,715;70,627;71,489;87,652;;;;;73,38
1096;AGUAS GUARIROBA;AGUAS GUARIROBA SA;4089570;04.089.570/0001-50;4.517,70;4.220,67;4.559,17;4.229,11;4.150,57;4.261,27;4.449,56;4.334,33;;;;;4.340,30
1097;SG CANALIZACAO ITAUNA;SAINT-GOBAIN CANALIZACAO LTDA;28672087;28.672.087/0075-07;1.894,28;1.810,17;2.069,50;1.701,83;2.051,05;1.961,59;1.822,91;1.935,91;;;;;1.905,90
1098;JOST;JOST BRASIL SISTEMAS AUTOMOTIVOS LTDA;843966;00.843.966/0001-90;264,922;280,383;319,599;265,803;266,443;253,559;261,064;294,76;;;;;275,82
1104;BRASKEM;BRASKEM S.A;42150391;42.150.391/0001-70;180.416,31;186.212,55;201.581,33;187.597,81;118.881,72;166.269,18;170.533,96;190.032,99;;;;;175.190,73
1106;MINASLIGAS;MINASLIGAS S.A.;16933590;16.933.590/0001-45;85.620,57;77.567,96;87.015,31;84.309,47;84.881,40;83.457,63;83.206,09;84.081,87;;;;;83.767,54
1108;TEKSID;TEKSID DO BRASIL LTDA;16694812;16.694.812/0001-14;24.927,01;23.669,57;26.217,35;23.574,09;3.593,75;3.347,22;3.457,96;3.719,51;;;;;14.063,31
1109;KINROSS;KINROSS BRASIL MINERACAO S/A;20346524;20.346.524/0001-46;95.966,50;73.830,04;99.773,38;91.596,01;97.359,58;92.799,15;91.940,20;89.592,86;;;;;91.607,21
1112;IBG;IBG INDUSTRIA BRASILEIRA DE GASES LTDA;67423152;67.423.152/0001-78;4.353,96;3.454,46;4.338,73;3.198,68;4.108,74;3.171,92;4.223,04;3.785,08;;;;;3.829,33
1124;CARAMURU;CARAMURU ALIMENTOS  S/A;80671;00.080.671/0001-00;3.688,69;4.262,18;4.755,04;4.206,56;4.451,90;4.160,39;4.210,99;4.086,46;;;;;4.227,78
1127;GUARDIAN;GUARDIAN DO BRASIL VIDROS PLANOS LTDA;1410577;01.410.577/0001-34;3.024,16;2.700,16;2.991,25;2.846,52;2.740,21;2.600,16;2.677,93;2.728,21;;;;;2.788,58
1131;SERRA GRANDE;MINERACAO SERRA GRANDE S A;42445403;42.445.403/0001-94;10.397,35;9.408,87;10.621,03;10.333,88;10.316,90;9.682,65;9.540,32;9.754,04;;;;;10.006,88
1133;PROCTER&GAMBLE;PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA;1358874;01.358.874/0001-88;201,06;191,563;208,888;177,613;169,741;149,6;153,564;166,81;;;;;177,35
1135;ROMI;ROMI S.A.;56720428;56.720.428/0001-63;4.802,43;6.783,43;7.152,85;6.372,62;6.939,00;6.408,83;6.727,16;7.617,99;;;;;6.600,54
1141;CEMIG DISTRIB;CEMIG DISTRIBUICAO S.A;6981180;06.981.180/0001-16;2.510.364,42;2.278.661,58;2.705.747,01;2.572.376,41;2.580.309,78;2.485.479,82;2.546.882,48;2.584.275,47;;;;;2.533.012,12
1142;ARCOR;ARCOR DO BRASIL LTDA.;54360656;54.360.656/0017-01;1.507,04;1.405,11;1.585,48;1.415,66;1.459,79;1.348,92;1.409,07;1.460,43;;;;;1.448,94
1144;TEXTILCANATIBA;TEXTIL CANATIBA LTDA;56723091;56.723.091/0001-48;5.451,95;10.822,12;12.158,99;11.694,65;11.818,12;11.769,42;12.094,42;12.396,34;;;;;11.025,75
1145;PAPEIS SUDESTE;INDUSTRIA DE PAPEIS SUDESTE LTDA EM RECUPERACAO JUDICIAL;2886413;02.886.413/0004-93;4.824,91;4.699,97;7.248,99;6.934,64;6.926,70;7.095,27;7.199,98;7.569,98;;;;;6.562,55
1148;HOLCIM;CSN CIMENTOS BRASIL S.A.;60869336;60.869.336/0001-17;26.345,06;24.959,51;33.690,53;27.079,52;31.667,38;29.174,56;33.802,32;27.267,56;;;;;29.248,31
1149;SAMARCO;SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL;16628281;16.628.281/0001-61;28.507,07;27.636,85;31.204,96;31.623,59;25.420,37;29.538,31;29.744,91;29.860,92;;;;;29.192,12
1150;MICHELIN;SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO LTDA;50567288;50.567.288/0001-59;30.220,10;28.862,64;32.495,50;28.997,13;30.178,88;29.111,51;29.044,79;29.584,21;;;;;29.811,84
1151;STOLA;STOLA DO BRASIL LTDA;2069153;02.069.153/0001-10;709,014;559,21;507,502;391,588;371,401;319,793;239,901;165,937;;;;;408,04
1156;FIAT AUTO;FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;16701716;16.701.716/0001-56;14.095,63;15.574,61;17.071,64;15.518,78;16.374,32;12.874,91;15.929,54;16.987,90;;;;;15.553,42
1158;GRANHA1;GRANHA LIGAS LTDA;5833746;05.833.746/0001-08;21.324,89;18.572,86;22.759,23;22.120,54;21.499,82;21.866,38;22.695,16;21.788,35;;;;;21.578,40
1159;CARGILL ULA;CARGILL AGRICOLA S A;60498706;60.498.706/0134-88;8.176,09;5.844,81;14.743,00;6.867,37;7.617,59;7.075,01;6.626,03;7.534,64;;;;;8.060,57
1160;OXITENO;OXITENO S A INDUSTRIA E COMERCIO;62545686;62.545.686/0001-53;4.578,34;4.151,09;4.663,48;4.405,51;2.612,79;4.009,70;4.233,12;4.151,18;;;;;4.100,65
1162;TRAMONTINA CL;TRAMONTINA SA CUTELARIA;90050238;90.050.238/0001-14;5.644,39;6.627,51;7.478,02;6.137,51;7.249,91;6.665,58;6.258,96;6.614,75;;;;;6.584,58
1164;RIAL;RIMA INDUSTRIAL S/A;18279158;18.279.158/0001-08;123.339,24;111.971,41;133.360,75;130.759,57;135.312,42;132.401,60;136.008,37;135.068,59;;;;;129.777,74
1165;TRANSPETRO;PETROBRAS TRANSPORTE S.A - TRANSPETRO;2709449;02.709.449/0001-59;36.527,64;35.610,11;38.723,29;37.882,37;37.883,08;36.804,35;39.640,07;36.516,85;;;;;37.448,47
1167;BELOCAL;MINERACAO BELOCAL LTDA;6730693;06.730.693/0001-54;9.435,34;8.807,48;10.304,66;10.144,36;10.189,25;10.055,81;10.493,50;10.352,04;;;;;9.972,80
1183;CIC MATRIZ;COMPANHIA INDUSTRIAL CATAGUASES;19526748;19.526.748/0001-50;1.670,22;2.377,87;2.738,49;2.565,26;2.890,28;2.686,13;2.726,74;2.727,82;;;;;2.547,85
1185;RIO DOCE;VALE MANGANES S.A;15144306;15.144.306/0001-99;360,368;319,065;347,509;327,856;323,273;297,175;255,626;260,259;;;;;311,39
1187;CATERPILLAR;CATERPILLAR BRASIL LTDA;61064911;61.064.911/0001-77;4.432,86;4.119,41;4.784,08;4.346,69;4.077,33;3.362,84;4.157,04;4.589,96;;;;;4.233,78
1189;PILKINGTON;PILKINGTON BRASIL LTDA;61736732;61.736.732/0001-39;5.662,99;5.869,96;6.359,11;6.195,90;6.366,01;6.402,48;6.485,90;7.195,84;;;;;6.317,27
1190;MERCEDES SBC;MERCEDES-BENZ DO BRASIL LTDA.;59104273;59.104.273/0001-29;10.795,69;11.016,22;12.578,93;9.380,75;11.703,47;11.508,61;10.554,19;12.267,45;;;;;11.225,66
1199;ZF ENGENHEIRO COELHO;ZF AUTOMOTIVE BRASIL LTDA.;60857349;60.857.349/0001-76;4.195,74;4.862,52;5.677,72;5.370,90;5.796,36;5.919,34;6.027,54;5.773,06;;;;;5.452,90
1204;NITROQUIMICA;COMPANHIA NITRO QUIMICA BRASILEIRA;61150348;61.150.348/0001-50;2.602,11;2.934,50;1.830,48;2.200,13;1.856,14;1.788,81;2.392,30;1.916,19;;;;;2.190,08
1207;NADIR FIGUEIREDO;NADIR FIGUEIREDO S.A.;61067161;61.067.161/0001-97;12.732,06;10.336,18;12.230,52;10.836,72;10.382,40;10.331,49;11.145,85;11.109,38;;;;;11.138,08
1211;KARSTEN;KARSTEN S.A.;82640558;82.640.558/0001-04;4.644,48;4.290,36;4.658,62;3.365,27;3.854,63;3.922,74;4.264,44;4.696,67;;;;;4.212,15
1212;PLASTIPAK PAULINIA;PLASTIPAK PACKAGING DO BRASIL LTDA;1115825;01.115.825/0001-14;3.052,56;2.853,49;3.054,75;2.936,29;3.148,57;3.186,15;2.949,67;3.170,27;;;;;3.043,97
1213;UNIMINAS AGRO;UNIMINAS AGRO-INDUSTRIAL LTDA;2236833;02.236.833/0001-81;980,574;900,876;1.109,26;1.014,68;1.130,76;1.107,24;1.035,16;1.185,58;;;;;1.058,01
1215;METRO SP;COMPANHIA DO METROPOLITANO DE SAO PAULO;62070362;62.070.362/0001-06;36.487,09;34.338,46;39.464,03;35.740,18;36.303,39;34.090,08;35.247,46;35.402,35;;;;;35.884,13
1217;PLASCAR;PLASCAR INDUSTRIA DE COMPONENTES PLASTICOS LTDA;50935576;50.935.576/0001-19;2.252,17;2.572,82;2.865,57;2.491,42;2.776,33;2.741,30;2.849,25;3.156,81;;;;;2.713,21
1218;NESTLE ARACATUBA CL;NESTLE BRASIL LTDA.;60409075;60.409.075/0001-52;4.218,92;3.871,22;4.031,17;4.104,69;4.246,32;3.843,81;4.051,33;4.115,72;;;;;4.060,40
1219;PETROM;PETROM PETROQUIMICA MOGI DAS CRUZES S/A;2340752;02.340.752/0001-27;2.641,24;3.176,09;3.515,67;3.529,00;3.776,77;4.171,91;3.243,97;3.100,53;;;;;3.394,40
1225;CSN SIDERURGIC;COMPANHIA SIDERURGICA NACIONAL;33042730;33.042.730/0001-04;2.749,69;0;0;0;0;0;0;0;;;;;343,71
1232;TEKNO;TEKNO S.A. INDUSTRIA E COMERCIO;33467572;33.467.572/0001-34;779,76;846,387;1.209,84;1.178,86;1.044,99;1.063,29;915,415;1.016,16;;;;;1.006,84
1235;J E J;JOHNSON & JOHNSON INDUSTRIAL LTDA;59748988;59.748.988/0001-14;7.636,54;6.946,54;7.412,12;6.868,33;6.487,78;5.965,04;6.151,15;6.550,22;;;;;6.752,22
1240;FURUKAWA CUR D;FURUKAWA ELECTRIC LATAM S.A.;51775690;51.775.690/0001-91;2.723,55;2.528,05;2.730,89;2.348,87;2.542,68;2.490,69;2.541,57;2.517,02;;;;;2.552,91
1241;SCHAEFFLER;SCHAEFFLER BRASIL LTDA.;57000036;57.000.036/0001-92;6.760,06;6.363,49;7.355,71;6.687,12;7.005,49;6.808,68;6.897,13;7.185,61;;;;;6.882,91
1242;VOLVO;VOLVO DO BRASIL VEICULOS LTDA;43999424;43.999.424/0001-14;3.011,81;3.507,70;3.767,41;3.463,76;3.740,42;3.552,07;3.668,81;3.773,47;;;;;3.560,68
1243;CEBRACE;CEBRACE CRISTAL PLANO LTDA;45070190;45.070.190/0001-51;11.647,58;11.869,10;12.227,62;10.845,46;11.454,31;10.966,15;12.613,73;12.984,55;;;;;11.826,06
1244;MONDELEZ;MONDELEZ BRASIL LTDA;33033028;33.033.028/0001-84;9.028,57;8.341,53;9.072,07;7.991,56;8.189,72;7.848,23;8.199,11;8.312,44;;;;;8.372,90
1245;AJINOMOTO 1;AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;46344354;46.344.354/0001-54;24.323,02;20.269,59;23.102,42;23.807,36;24.894,92;22.156,85;22.565,64;23.995,33;;;;;23.139,39
1252;PRYSMIAN SORO;PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A;61150751;61.150.751/0091-35;2.834,63;2.845,71;3.018,76;2.785,96;2.847,42;2.723,40;2.854,85;2.889,52;;;;;2.850,03
1253;PPE FIOS;PPE FIOS ESMALTADOS S.A;62255682;62.255.682/0001-30;3.217,49;3.231,93;3.733,21;3.616,62;3.708,63;3.495,13;3.678,08;3.846,02;;;;;3.565,89
1254;NATURA;INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA;190373;00.190.373/0001-72;2.555,09;2.560,75;2.988,18;2.775,49;2.472,09;2.394,94;2.427,84;2.342,93;;;;;2.564,66
1255;VOLKSWAGEN;VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;59104422;59.104.422/0001-50;11.595,60;16.243,19;19.173,28;14.844,88;17.772,27;17.044,53;14.557,02;16.203,32;;;;;15.929,26
1256;AIR LIQUIDE SP;AIR LIQUIDE BRASIL LTDA;331788;00.331.788/0001-19;18.453,77;17.280,03;20.049,02;18.559,28;18.803,94;16.985,69;17.729,42;17.519,32;;;;;18.172,56
1257;PAPIRUS;PAPIRUS INDUSTRIA DE PAPEL SA;60856077;60.856.077/0001-90;4.266,32;3.872,55;4.398,21;4.066,26;4.454,28;4.225,39;4.366,59;4.219,85;;;;;4.233,68
1258;INPA;SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS S.A.;23524952;23.524.952/0001-00;5.998,25;5.437,07;6.023,13;5.859,47;6.060,17;5.804,01;6.034,83;6.051,05;;;;;5.908,50
1259;OXICAP;OXICAP INDUSTRIA DE GASES LTDA.;43117399;43.117.399/0001-06;13.085,67;11.601,18;13.362,29;12.816,30;12.704,69;13.263,59;13.636,03;13.260,02;;;;;12.966,22
1261;IPAPER;SYLVAMO DO BRASIL LTDA.;52736949;52.736.949/0001-58;20.416,52;18.201,17;19.407,91;18.740,82;18.826,09;17.981,49;20.462,38;29.397,42;;;;;20.429,23
1264;YPE-QUIMICA;QUIMICA AMPARO LTDA;43461789;43.461.789/0001-90;10.543,77;10.720,86;11.743,60;10.390,39;11.768,10;10.761,39;10.795,13;10.853,77;;;;;10.947,13
1269;CPTM;COMPANHIA PAULISTA DE TRENS METROPOLITANOS - CPTM;71832679;71.832.679/0001-23;34.059,75;31.293,90;35.123,10;31.672,34;31.054,59;29.339,53;31.115,15;31.499,80;;;;;31.894,77
1271;ELFUSA;ELFUSA GERAL DE ELETROFUSAO LTDA;59752048;59.752.048/0001-07;20.468,33;20.540,09;22.111,76;21.329,89;20.294,88;14.157,45;16.020,75;16.613,66;;;;;18.942,10
